,INCIDENT_DATE,AIRPORT_ID,AIRPORT,ATYPE,TYPE_ENG,SPECIES,DAMAGE,NUM_ENGS,TIME_OF_DAY,ENROUTE,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED
5762,2011-09-22,KVNY,VAN NUYS ARPT,C-172,Reciprocating,Rock pigeon,None,1.0,Day,,,0.0,,0.0,Parked,Some Cloud,None,1,1,Small,N
5763,2011-09-22,KLGB,LONG BEACH-DAUGH FLD,A-320,Turbofan,Unknown bird - medium,None,2.0,Day,,,0.0,130.0,0.0,Take-off run,Overcast,None,2 to 10,1,Medium,Y
5764,2011-09-21,KBUR,BOB HOPE ARPT,GLOBAL EXPRS,Turbofan,Rock pigeon,None,2.0,Day,,,0.0,,0.0,Take-off run,No Cloud,None,2 to 10,1,Small,Y
5765,2011-09-21,KLAX,LOS ANGELES INTL,MD-82,Turbofan,American kestrel,None,2.0,Day,,,0.0,,0.0,Take-off run,Overcast,None,1,1,Small,Y
5766,2011-09-21,KSMF,SACRAMENTO INTL,B-737-700,Turbofan,Unknown bird - small,None,2.0,,,,8000.0,250.0,,Climb,No Cloud,None,,1,Small,N
5767,2011-09-20,KLGB,LONG BEACH-DAUGH FLD,UNKNOWN,,Red-tailed hawk,,,,,,,,0.0,,,,,1,Medium,
5768,2011-09-20,KONT,ONTARIO INTL ARPT,UNKNOWN,,Burrowing owl,,,,,,,,0.0,,,,,1,Small,
5769,2011-09-19,KBUR,BOB HOPE ARPT,B-737-700,Turbofan,Unknown bird - small,None,2.0,Night,,,2000.0,170.0,,Approach,No Cloud,None,,1,Small,N
5770,2011-09-18,KLAX,LOS ANGELES INTL,B-737-700,Turbofan,Unknown bird - medium,None,2.0,Night,,,4500.0,210.0,5.0,Climb,Some Cloud,,,1,Medium,N
5771,2011-09-18,KLAX,LOS ANGELES INTL,A-320,Turbofan,Unknown bird - medium,None,2.0,Day,,,400.0,155.0,,Climb,No Cloud,None,1,1,Medium,Y
5772,2011-09-18,KVNY,VAN NUYS ARPT,UNKNOWN,,Mourning dove,,,,,,,,0.0,,,,,1,Small,
5773,2011-09-17,KSMO,SANTA MONICA MUNICIPAL,CHALLENGER 300,Turbofan,Peregrine falcon,None,2.0,Day,,,60.0,120.0,,Approach,No Cloud,None,,1,Medium,N
5774,2011-09-17,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,UNKNOWN,,Skunks,,,,,,,,0.0,,,,,1,Large,
5775,2011-09-17,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,White-tailed kite,,,,,,,,0.0,,,,,1,Small,
5776,2011-09-17,KLAX,LOS ANGELES INTL,UNKNOWN,,American kestrel,,,,,,,,0.0,,,,,1,Small,
5777,2011-09-17,KONT,ONTARIO INTL ARPT,UNKNOWN,,Barn owl,,,,,,,,0.0,,,,,1,Small,
5778,2011-09-17,KSAN,SAN DIEGO INTL,UNKNOWN,,Killdeer,,,,,,,,0.0,,,,,1,Small,
5779,2011-09-16,KSMF,SACRAMENTO INTL,A-319,Turbofan,Sparrows,None,2.0,Day,,,0.0,135.0,0.0,Take-off run,No Cloud,None,2 to 10,2 to 10,Small,N
